link,title,price,id,extracted_at_date
https://es.wallapop.com/item/bicicleta-doble-suspension-mtb-1142834160,Bicicleta Doble Suspensión MTB,350.0,bicicleta-doble-suspension-mtb-1142834160,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-cannondale-amarilla-usada-1142824101,Bicicleta Cannondale amarilla usada,225.0,bicicleta-cannondale-amarilla-usada-1142824101,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-bh-aluminio-mtb-1142820923,Bicicleta BH Aluminio MTB,250.0,bicicleta-bh-aluminio-mtb-1142820923,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-rockrider-montana-1142815483,Bicicleta Rockrider Montaña,300.0,bicicleta-rockrider-montana-1142815483,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-scott-scale-24-nino-1142811026,"Bicicleta SCOTT Scale 24"" Niño",300.0,bicicleta-scott-scale-24-nino-1142811026,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-b-pro-nino-casi-nueva-1142808184,"Bicicleta B Pro niño, casi nueva",300.0,bicicleta-b-pro-nino-casi-nueva-1142808184,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-de-montana-1142805757,Bicicleta de montaña,480.0,bicicleta-de-montana-1142805757,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-rockrider-st-520-talla-xl-1142791642,Bicicleta Rockrider ST 520 talla XL ,210.0,bicicleta-rockrider-st-520-talla-xl-1142791642,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-de-montana-29-talla-m-1142791237,"Bicicleta De Montaña 29
Talla M ",245.0,bicicleta-de-montana-29-talla-m-1142791237,2025-06-15 21:39:41
https://es.wallapop.com/item/bici-montana-bpro-zs9-pro-26-1142775008,"Bici montaña Bpro zs9 pro 26""",280.0,bici-montana-bpro-zs9-pro-26-1142775008,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-bh-montana-juvenil-1142758811,Bicicleta BH montaña juvenil,200.0,bicicleta-bh-montana-juvenil-1142758811,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-bh-montana-nino-1142758429,Bicicleta BH montaña niño,200.0,bicicleta-bh-montana-nino-1142758429,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-electrica-montana-1142753712,Bicicleta eléctrica montaña,600.0,bicicleta-electrica-montana-1142753712,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-early-rider-20-ninos-1142744080,"Bicicleta Early Rider 20"" niños",500.0,bicicleta-early-rider-20-ninos-1142744080,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-cube-reaction-29-1142711329,Bicicleta Cube Reaction 29,375.0,bicicleta-cube-reaction-29-1142711329,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-de-montana-rockrider-xc100-1142702259,Bicicleta de montaña Rockrider XC100,400.0,bicicleta-de-montana-rockrider-xc100-1142702259,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-lapierre-montana-1142699992,Bicicleta Lapierre montaña,575.0,bicicleta-lapierre-montana-1142699992,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-giant-xtc-advanced-29-m-1142699756,Bicicleta Giant XTC Advanced 29 M,700.0,bicicleta-giant-xtc-advanced-29-m-1142699756,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-lapierre-1142695278,Bicicleta montaña LaPierre,575.0,bicicleta-montana-lapierre-1142695278,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-rockrider-27-5-talla-l-1142692734,"Bicicleta Rockrider 27.5"" Talla L",500.0,bicicleta-rockrider-27-5-talla-l-1142692734,2025-06-15 21:39:41
https://es.wallapop.com/item/cambio-electrico-inalambrico-sram-xo1-eagle-axs-1142674447,Cambio eléctrico inalámbrico SRAM XO1 Eagle AXS  ,450.0,cambio-electrico-inalambrico-sram-xo1-eagle-axs-1142674447,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-rockrider-st-900s-doble-suspension-1142666164,Bicicleta Rockrider ST 900S doble suspensión,649.0,bicicleta-rockrider-st-900s-doble-suspension-1142666164,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-cube-acid-27-5-talla-s-m-1142660038,"Bicicleta Cube Acid 27.5"" Talla S-M",250.0,bicicleta-cube-acid-27-5-talla-s-m-1142660038,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-trek-marlin-5-mtb-1142650022,Bicicleta TREK Marlin 5 MTB,400.0,bicicleta-trek-marlin-5-mtb-1142650022,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-specialized-rockhopper-1142605315,Bicicleta Specialized Rockhopper,400.0,bicicleta-specialized-rockhopper-1142605315,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-mtb-specialized-rockhopper-29-talla-l-1142597202,Bicicleta MTB Specialized Rockhopper 29” talla L,450.0,bicicleta-mtb-specialized-rockhopper-29-talla-l-1142597202,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-de-montana-27-5-rockrider-expl-50-gris-claro-1142596895,"Bicicleta de montaña 27,5"" Rockrider Expl 50 gris claro",221.0,bicicleta-de-montana-27-5-rockrider-expl-50-gris-claro-1142596895,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-de-montana-27-5-rockrider-expl-50-rojo-1142596412,"Bicicleta de montaña 27,5"" Rockrider Expl 50 rojo",221.0,bicicleta-de-montana-27-5-rockrider-expl-50-rojo-1142596412,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-28-1142594554,Bicicleta montaña 28,300.0,bicicleta-montana-28-1142594554,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-rockrider-27-5-montana-1142588570,"Bicicleta Rockrider 27.5"" montaña",200.0,bicicleta-rockrider-27-5-montana-1142588570,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-27-5-aluminio-talla-m-1142588432,"Bicicleta montaña 27,5"" Aluminio Talla M",200.0,bicicleta-montana-27-5-aluminio-talla-m-1142588432,2025-06-15 21:39:41
https://es.wallapop.com/item/wilier-503x-pro-bicicleta-mtb-29-1142582663,"Wilier 503X Pro Bicicleta MTB 29""",720.0,wilier-503x-pro-bicicleta-mtb-29-1142582663,2025-06-15 21:39:41
https://es.wallapop.com/item/gt-sanction-enduro-mtb-1142578359,GT Sanction Enduro MTB,600.0,gt-sanction-enduro-mtb-1142578359,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-de-montana-orbea-1142577322,Bicicleta de montaña Orbea ,220.0,bicicleta-de-montana-orbea-1142577322,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-hiland-him036bk-29a431-1142576089,bicicleta montaña hiland him036bk-29a431,299.0,bicicleta-montana-hiland-him036bk-29a431-1142576089,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-conor-wrc-1142576045,bicicleta montaña conor wrc,399.0,bicicleta-montana-conor-wrc-1142576045,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-electrica-montana-1142555993,Bicicleta eléctrica montaña,550.0,bicicleta-electrica-montana-1142555993,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-scott-aspect-960-xl-1142554483,Bicicleta Scott Aspect 960 XL,666.0,bicicleta-scott-aspect-960-xl-1142554483,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-orbea-alma-1142552107,Bicicleta Orbea Alma,250.0,bicicleta-orbea-alma-1142552107,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-electrica-rockrider-e-st100-1142536226,Bicicleta eléctrica Rockrider E-ST100,450.0,bicicleta-electrica-rockrider-e-st100-1142536226,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-orbea-alma-h50-1142535843,Bicicleta Orbea Alma H50,750.0,bicicleta-orbea-alma-h50-1142535843,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-specialized-rockhopper-1142531365,Bicicleta Specialized Rockhopper,215.0,bicicleta-specialized-rockhopper-1142531365,2025-06-15 21:39:41
https://es.wallapop.com/item/orbea-27-5-mtb-bicicleta-1142525798,Orbea 27.5 MTB Bicicleta,250.0,orbea-27-5-mtb-bicicleta-1142525798,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-doble-suspension-rock-shox-1142521085,"Bicicleta montaña doble suspensión, Rock Shox",250.0,bicicleta-montana-doble-suspension-rock-shox-1142521085,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-electrica-fat-bike-1142519837,Bicicleta eléctrica Fat Bike,750.0,bicicleta-electrica-fat-bike-1142519837,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-cube-24-roja-1142514104,"Bicicleta Cube 24"" roja",225.0,bicicleta-cube-24-roja-1142514104,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-lapierre-29-mtb-1142507932,"Bicicleta Lapierre 29"" MTB",350.0,bicicleta-lapierre-29-mtb-1142507932,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-wolfbike-1142503646,Bicicleta montaña Wolfbike,200.0,bicicleta-montana-wolfbike-1142503646,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-de-montana-scot-aspect-950-1142499364,Bicicleta de montaña Scot Aspect 950 + Casco,450.0,bicicleta-de-montana-scot-aspect-950-1142499364,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-rockrider-520-montana-1142493559,Bicicleta Rockrider 520 montaña,215.0,bicicleta-rockrider-520-montana-1142493559,2025-06-15 21:39:41
https://es.wallapop.com/item/btt-rockrider-st540s-doble-suspension-1142478795,BTT Rockrider ST540S Doble Suspensión,395.0,btt-rockrider-st540s-doble-suspension-1142478795,2025-06-15 21:39:41
https://es.wallapop.com/item/bici-mtb-specialized-hardrock-26-pulgadas-talla-m-1142476184,"Bici MTB SPECIALIZED HARDROCK, 26 Pulgadas,Talla:M",245.0,bici-mtb-specialized-hardrock-26-pulgadas-talla-m-1142476184,2025-06-15 21:39:41
https://es.wallapop.com/item/bici-btt-rockrider-st900-sporttrail-27-5-xl-1142474567,"Bici BTT ROCKRIDER ST900 SPORTTRAIL, 27.5"", XL",495.0,bici-btt-rockrider-st900-sporttrail-27-5-xl-1142474567,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-electrica-rockrider-e-st100-1142471577,Bicicleta eléctrica Rockrider E-ST100,400.0,bicicleta-electrica-rockrider-e-st100-1142471577,2025-06-15 21:39:41
https://es.wallapop.com/item/2-mtb-trek-8000-l-y-orbea-alma-m-1142456464,2 MTB: Trek 8000 (L) y Orbea Alma (M),550.0,2-mtb-trek-8000-l-y-orbea-alma-m-1142456464,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-rocky-mountain-element-60-1142445731,Bicicleta Rocky Mountain Element 60,300.0,bicicleta-rocky-mountain-element-60-1142445731,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-trek-3700-mujer-1142423009,Bicicleta montaña Trek 3700 mujer,200.0,bicicleta-montana-trek-3700-mujer-1142423009,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-grupo-fox-kashima-1142412814,Bicicleta montaña grupo Fox kashima ,270.0,bicicleta-montana-grupo-fox-kashima-1142412814,2025-06-15 21:39:41
https://es.wallapop.com/item/mondraker-play-27-5-bicicleta-montana-1142411018,Mondraker Play 27.5 Bicicleta Montaña,225.0,mondraker-play-27-5-bicicleta-montana-1142411018,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-rockrider-1142400518,Bicicleta Montaña Rockrider,240.0,bicicleta-montana-rockrider-1142400518,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-26-fat-bike-1142388830,"Bicicleta Montaña 26"" Fat Bike",280.0,bicicleta-montana-26-fat-bike-1142388830,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-scott-1142381955,Bicicleta montaña Scott ,350.0,bicicleta-montana-scott-1142381955,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-specialized-1142381068,Bicicleta montaña Specialized ,350.0,bicicleta-montana-specialized-1142381068,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-scott-aspect-960-gris-1142378907,Bicicleta Scott Aspect 960 Gris,520.0,bicicleta-scott-aspect-960-gris-1142378907,2025-06-15 21:39:41
https://es.wallapop.com/item/horquilla-rockshox-sid-ultimate-110mm-1142375097,Horquilla Rockshox Sid Ultimate 110mm,520.0,horquilla-rockshox-sid-ultimate-110mm-1142375097,2025-06-15 21:39:41
https://es.wallapop.com/item/merida-big-nine-2021-bicicleta-mtb-1142368446,Merida Big Nine 2021 - Bicicleta MTB,400.0,merida-big-nine-2021-bicicleta-mtb-1142368446,2025-06-15 21:39:41
https://es.wallapop.com/item/orbea-mtb-talla-s-1142346929,Orbea MTB Talla S,270.0,orbea-mtb-talla-s-1142346929,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-btwin-rockrider-540-1142336347,Bicicleta Btwin Rockrider 540,300.0,bicicleta-btwin-rockrider-540-1142336347,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-merida-big-40-mtb-1142326048,Bicicleta Merida Big.40 MTB,299.0,bicicleta-merida-big-40-mtb-1142326048,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-trek-marlin-29-1142325116,Bicicleta Trek Marlin 29,500.0,bicicleta-trek-marlin-29-1142325116,2025-06-15 21:39:41
https://es.wallapop.com/item/sram-axs-gx-12v-grupo-completo-1142324871,SRAM AXS GX 12v - Grupo completo,260.0,sram-axs-gx-12v-grupo-completo-1142324871,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-scott-980-montana-1142316636,"Bicicleta Scott 980 montaña talla l
29 pulgadas
",450.0,bicicleta-scott-980-montana-1142316636,2025-06-15 21:39:41
https://es.wallapop.com/item/patinete-electrico-1142301011,Patinete eléctrico,500.0,patinete-electrico-1142301011,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-rockrider-r29-1142284084,Bicicleta Rockrider R29,400.0,bicicleta-rockrider-r29-1142284084,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-btwin-rockrider-26-usada-1142279758,"Bicicleta BTWIN Rockrider 26"" nunca en la calle. ",249.0,bicicleta-btwin-rockrider-26-usada-1142279758,2025-06-15 21:39:41
https://es.wallapop.com/item/iphone-se-3-generacion-128gb-negro-1142278501,iPhone SE 3ª generación 128gb - Negro,200.0,iphone-se-3-generacion-128gb-negro-1142278501,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-berria-bravo-1142263815,Bicicleta montaña Berria Bravo,600.0,bicicleta-montana-berria-bravo-1142263815,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-electrica-rockrider-mtb-1142254874,Bicicleta eléctrica RockRider MTB,600.0,bicicleta-electrica-rockrider-mtb-1142254874,2025-06-15 21:39:41
https://es.wallapop.com/item/bielas-sram-carbono-mtb-1142248608,Bielas SRAM carbono MTB,250.0,bielas-sram-carbono-mtb-1142248608,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-wst-poison-mtb-27-5-1142248024,Bicicleta WST Poison MTB 29,430.0,bicicleta-wst-poison-mtb-27-5-1142248024,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-nueva-rockrider-st530-1142247200,"Bicicleta nueva Rockrider 27,5",290.0,bicicleta-nueva-rockrider-st530-1142247200,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-merida-montana-1142245280,Bicicleta Merida Montaña,400.0,bicicleta-merida-montana-1142245280,2025-06-15 21:39:41
https://es.wallapop.com/item/merida-bicicleta-aluminio-talla-l-verde-1142226433,Merida Bicicleta Aluminio Talla L Verde,400.0,merida-bicicleta-aluminio-talla-l-verde-1142226433,2025-06-15 21:39:41
https://es.wallapop.com/item/sram-gx-axs-eagle-kit-actualizacion-1142219960,SRAM GX AXS Eagle: Kit actualización,399.0,sram-gx-axs-eagle-kit-actualizacion-1142219960,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-mountain-baik-1142206988,BICICLETA MTB,300.0,bicicleta-mountain-baik-1142206988,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-scott-aspect-910-mtb-1142198135,Bicicleta Scott Aspect 910  29 pulgadas- MTB,350.0,bicicleta-scott-aspect-910-mtb-1142198135,2025-06-15 21:39:41
https://es.wallapop.com/item/mondraker-factor-r-mtb-1142190446,Mondraker Factor R - MTB,290.0,mondraker-factor-r-mtb-1142190446,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-bh-mtb-1142186636,Bicicleta montaña BH - MTB,290.0,bicicleta-montana-bh-mtb-1142186636,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-rockrider-roja-1142175570,Bicicleta montaña Rockrider roja,270.0,bicicleta-montana-rockrider-roja-1142175570,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-bh-extreme-26-talla-l-1142161180,"Bicicleta BH Extreme 26"" Talla L",250.0,bicicleta-bh-extreme-26-talla-l-1142161180,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-cannondale-usada-1142152584,Bicicleta Cannondale usada,400.0,bicicleta-cannondale-usada-1142152584,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-bh-peak-26-6-7-1142134967,"Bicicleta BH Peak 26"" 6.7",300.0,bicicleta-bh-peak-26-6-7-1142134967,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-29-atraktor-1142123893,"Bicicleta montaña 29"" Atraktor",215.0,bicicleta-montana-29-atraktor-1142123893,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-merida-big-nine-300-1142119494,Merida Big Nine 300,500.0,bicicleta-merida-big-nine-300-1142119494,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-trek-marlin-6-azul-1142117083,Bicicleta Trek Marlin 6 azul,650.0,bicicleta-trek-marlin-6-azul-1142117083,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-montana-29-indoor-m-1142093444,"Bicicleta montaña 29"" Indoor M",320.0,bicicleta-montana-29-indoor-m-1142093444,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-electrica-montana-1142090324,Bicicleta eléctrica montaña,600.0,bicicleta-electrica-montana-1142090324,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-scott-aspect-960-talla-l-1142081275,Bicicleta Scott Aspect 960 Talla L,350.0,bicicleta-scott-aspect-960-talla-l-1142081275,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-orbea-montana-1142078349,Bicicleta Orbea montaña,200.0,bicicleta-orbea-montana-1142078349,2025-06-15 21:39:41
https://es.wallapop.com/item/bicicleta-boomerang-weekend-1142070996,Bicicleta Boomerang Weekend,250.0,bicicleta-boomerang-weekend-1142070996,2025-06-15 21:39:41
